,0,1,2,3,4
99,25.992302,0.0,16.828266,4.3661056,0.0
100,24.999582,0.0,16.883839,4.7776976,0.0
101,28.649635,0.0,19.166548,5.1210356,0.0
102,24.72829,0.0,16.176052,3.912695,0.0
103,28.223047,0.0,18.479134,4.9360156,0.0
104,25.226387,0.0,16.74417,4.302091,0.0
105,29.128195,0.0,19.422377,5.170791,0.0
106,26.431936,0.0,18.019196,4.4264865,0.0
107,25.712933,0.0,17.011545,4.2714224,0.0
108,24.035316,0.0,16.313564,4.596111,0.0
109,18.642675,0.0,12.339251,3.266354,0.0
110,24.82017,0.0,15.921574,3.9668286,0.0
111,10.416198,0.0,6.85323,1.710442,0.0
112,15.318806,0.0,10.087883,2.5307472,0.0
113,20.81374,0.0,13.938955,3.5478015,0.0
114,16.371517,0.0,10.613972,2.8114214,0.0
115,3.1120179,0.0,2.1713402,0.64065754,0.0
116,22.505203,0.0,14.466253,3.6558006,0.0
117,16.147825,0.0,10.46228,2.8152356,0.0
118,5.153688,0.0,3.5413928,0.98095894,0.0
119,14.477696,0.0,9.917038,2.1587663,0.0
120,20.995455,0.0,13.818687,4.3991795,0.0
121,24.145367,0.0,17.04756,5.973918,0.0
122,20.446634,0.0,14.234451,3.1940641,0.0
123,26.440758,0.0,15.621019,3.7163877,0.0
124,22.772049,0.0,15.962465,2.8479297,0.0
125,20.44711,0.0,14.033068,2.2843502,0.0
126,20.631056,0.0,15.051258,2.2114644,0.0
127,25.663939,0.0,17.727058,5.2151303,0.0
128,19.76024,0.0,13.766083,2.8586607,0.0
129,12.5506735,0.0,9.151609,3.5490475,0.0
130,9.922389,0.0,7.0329046,2.7532585,0.0
131,10.272091,0.0,7.237119,1.2957222,0.0
132,23.649843,0.0,16.404749,5.3761287,0.0
133,15.961117,0.0,11.405676,4.2849817,0.0
134,19.479801,0.0,11.901972,2.890917,0.0
135,20.980682,0.0,14.641729,4.838709,0.0
136,13.132441,0.0,9.545811,1.4883854,0.0
137,15.560396,0.0,10.719118,2.301813,0.0
138,14.053103,0.0,9.869457,3.4811325,0.0
139,22.965975,0.0,15.927523,4.9438343,0.0
140,19.083384,0.0,13.81757,2.1544354,0.0
141,15.725575,0.0,10.827749,3.883228,0.0
142,23.985918,0.0,16.987154,5.969563,0.0
143,16.473627,0.0,11.802683,4.3981023,0.0
144,17.246025,0.0,12.087381,1.9229666,0.0
